(x,y)
156,272
156,279
157,280
157,282
159,282
160,281
161,282
162,281
162,279
163,278
163,245
162,244
162,235
163,234
163,232
162,231
163,230
163,221
162,220
162,219
163,218
163,217
162,216
162,177
161,176
156,175
156,177
155,178
155,184
154,185
154,188
155,189
155,207
154,208
154,238
152,240
97,240
96,239
95,240
63,240
62,241
61,241
58,238
58,237
57,236
57,235
55,233
54,234
53,233
52,233
51,234
50,233
48,235
48,238
47,239
47,349
48,350
48,353
50,355
54,355
55,356
110,356
111,355
114,355
115,354
115,350
115,353
113,355
111,355
110,356
55,356
54,355
50,355
49,354
49,353
48,352
48,350
47,349
47,239
48,238
48,236
50,234
51,234
52,233
53,233
54,234
55,234
57,236
57,237
58,238
58,239
59,240
60,240
61,241
62,241
63,240
95,240
96,239
97,240
149,240
150,241
151,240
152,240
153,239
154,239
154,208
155,207
155,189
154,188
154,185
155,184
155,178
156,177
457,167
460,167
461,168
461,169
463,171
463,232
462,233
462,235
461,236
459,236
458,237
457,237
456,236
455,236
454,235
454,234
453,233
453,229
452,228
452,211
450,209
449,209
452,212
452,228
453,229
453,234
455,236
456,236
457,237
458,237
459,236
460,237
462,235
462,233
463,232
463,171
462,170
462,169
460,167
455,167
454,168
454,169
453,170
453,176
452,177
453,178
453,180
452,181
453,182
453,183
452,184
452,200
451,201
450,201
449,202
450,202
451,201
452,201
452,184
453,183
453,182
452,181
453,180
453,178
452,177
453,176
453,171
454,170
454,169
455,168
57,163
57,165
58,166
58,168
57,169
57,180
56,181
56,182
55,183
54,183
53,184
52,184
53,184
54,183
55,184
56,183
56,181
57,180
57,169
58,168
58,166
57,165
50,158
48,160
48,163
47,164
47,178
48,179
48,182
50,184
50,183
49,183
48,182
48,179
47,178
47,164
48,163
48,161
50,159
51,159
52,158
53,158
54,159
55,159
56,160
56,161
57,161
56,160
56,159
55,158
54,159
53,158
52,158
51,159
458,117
457,118
455,118
454,119
454,121
453,122
453,124
452,125
452,126
453,127
453,129
455,131
455,132
455,130
453,128
453,127
452,126
452,125
453,124
453,122
454,121
454,120
456,118
457,118
458,117
459,118
460,118
463,121
463,128
462,129
462,130
460,132
459,131
458,132
457,132
458,132
459,131
460,132
461,132
462,131
462,129
463,128
463,121
462,120
462,119
461,118
459,118
316,70
322,70
323,71
324,71
326,73
326,200
325,201
322,201
321,202
320,201
319,202
295,202
294,201
290,201
289,202
288,202
287,201
286,201
285,202
284,202
283,201
282,202
277,202
276,201
264,201
263,202
261,202
260,201
259,201
258,202
257,201
255,201
254,202
253,201
251,201
250,202
248,202
247,201
246,201
245,202
225,202
224,203
223,203
222,204
223,205
223,208
224,208
225,209
329,209
330,208
333,208
334,207
334,185
333,184
333,170
334,169
334,168
333,167
334,166
334,152
333,151
333,143
334,142
334,128
333,127
333,113
334,112
334,100
333,99
333,98
334,97
333,96
333,79
334,78
334,74
334,78
333,79
333,96
334,97
333,98
333,99
334,100
334,112
333,113
333,127
334,128
334,142
333,143
333,151
334,152
334,166
333,167
334,168
334,169
333,170
333,184
334,185
334,206
332,208
330,208
329,209
226,209
225,208
224,208
223,207
223,204
224,203
225,203
226,202
245,202
246,201
247,201
248,202
250,202
251,201
253,201
254,202
255,201
257,201
258,202
259,201
260,201
261,202
263,202
264,201
276,201
277,202
282,202
283,201
284,202
285,202
286,201
287,201
288,202
289,202
290,201
294,201
295,202
319,202
320,201
321,202
322,201
325,201
326,200
326,75
327,74
326,73
326,72
325,71
323,71
322,70
316,60
315,61
313,61
311,63
312,64
312,68
313,68
314,69
312,67
312,63
314,61
315,61
316,60
457,60
458,61
460,61
461,62
461,63
462,64
462,66
463,67
463,78
462,79
462,80
460,82
459,82
458,83
457,83
456,82
455,82
454,81
454,79
453,78
453,77
452,76
452,72
451,71
448,71
447,70
435,70
434,71
418,71
417,70
416,71
369,71
368,70
367,71
362,71
361,70
360,71
353,71
352,70
338,70
337,71
334,71
334,72
335,71
337,71
338,70
352,70
353,71
360,71
361,70
362,71
367,71
368,70
369,71
416,71
417,70
418,71
434,71
435,70
447,70
448,71
450,71
452,73
452,76
453,77
453,79
454,80
454,82
455,83
456,82
457,83
458,83
459,82
460,83
462,81
462,79
463,78
463,67
462,66
462,63
460,61
458,61
457,60
151,60
148,63
147,63
148,63
149,64
149,68
150,69
153,69
154,70
172,70
173,71
176,71
177,70
178,71
229,71
230,70
245,70
246,69
248,69
249,68
249,66
250,65
249,64
250,63
247,60
53,60
52,61
49,61
49,62
48,63
48,66
47,67
47,119
48,120
48,122
49,123
53,123
54,122
55,123
57,121
57,107
58,106
58,105
57,104
57,103
58,102
58,98
57,97
57,86
58,85
60,87
59,86
59,85
57,83
57,75
58,74
57,75
57,83
58,84
58,85
57,86
57,97
58,98
58,102
57,103
57,104
58,105
58,106
57,107
57,120
55,122
54,122
53,123
50,123
48,121
48,120
47,119
47,67
48,66
48,63
50,61
52,61
53,60
83,60
86,63
86,64
87,65
86,66
86,67
84,69
83,69
82,70
71,70
70,69
69,70
60,70
59,71
58,71
58,72
59,71
60,71
61,70
69,70
70,69
71,70
82,70
83,69
85,69
86,68
86,66
87,65
86,64
87,63
84,60
470,38
470,39
467,42
467,44
466,45
466,46
467,47
467,49
469,49
470,50
472,50
473,49
475,49
476,48
475,48
474,49
473,49
472,50
470,50
469,49
468,49
467,48
467,47
466,46
466,45
467,44
467,43
469,41
469,40
470,39
471,40
472,40
473,39
474,40
474,41
476,43
476,44
477,45
477,46
477,45
476,44
476,42
474,40
474,39
473,38
473,39
472,40
471,40
470,39
