(x,y)

412,230
418,230
395,224
394,225
392,225
392,226
390,228
391,228
392,229
393,229
394,230
408,230
410,232
410,231
409,231
408,230
394,230
391,227
393,225
394,225
395,224
420,224
423,227
421,229
420,229
422,229
422,228
423,227
422,226
422,225
421,224
198,224
199,224
336,223
335,224
330,224
329,225
328,225
328,226
326,228
327,229
329,229
330,230
364,230
365,229
367,229
367,228
368,227
366,229
365,229
364,230
330,230
329,229
328,229
327,228
327,227
329,225
330,225
331,224
342,224
339,224
338,223
342,216
342,218
344,220
343,221
344,222
344,223
345,223
346,224
363,224
364,225
365,225
366,226
367,225
365,225
364,224
346,224
343,221
344,220
343,219
343,218
342,217
266,215
264,217
264,218
263,219
264,220
263,221
263,222
262,223
263,223
264,224
268,224
269,225
272,225
273,224
295,224
296,225
297,225
299,227
299,228
297,230
295,230
294,231
292,231
291,230
290,231
289,231
288,230
287,231
285,231
284,230
283,231
281,231
280,230
276,230
275,231
274,231
273,230
272,230
271,231
264,231
263,230
261,230
259,228
259,225
260,224
259,225
259,229
260,230
263,230
264,231
271,231
272,230
273,230
274,231
275,231
276,230
280,230
281,231
283,231
284,230
285,231
287,231
288,230
289,231
290,231
291,230
292,231
294,231
295,230
298,230
299,229
299,227
298,226
298,225
296,225
295,224
273,224
272,225
269,225
268,224
265,224
263,222
263,221
264,220
263,219
265,217
265,216
266,215
275,215
276,216
277,216
278,215
289,215
290,216
291,216
293,218
293,220
293,217
292,216
290,216
289,215
278,215
277,216
276,216
275,215
214,172
213,173
205,173
213,173
214,172
233,172
234,173
235,172
238,172
239,173
256,173
257,172
261,176
260,177
260,209
259,210
259,216
258,217
258,222
258,217
259,216
259,210
260,209
260,177
261,176
261,175
259,173
258,173
257,172
256,173
239,173
238,172
235,172
234,173
233,172
162,157
162,158
161,159
161,165
160,166
160,172
161,173
161,185
162,186
162,187
162,186
163,185
164,185
165,186
165,187
165,186
166,185
166,182
167,181
167,162
166,161
166,157
166,161
167,162
167,181
166,182
166,184
165,185
162,185
161,184
161,173
160,172
160,166
161,165
161,160
162,159
162,158
163,157
164,157
116,153
117,154
117,156
118,157
118,158
119,159
119,162
120,163
120,166
121,167
121,169
122,170
122,172
123,173
123,176
125,178
125,181
126,182
126,184
127,185
127,187
128,188
128,191
129,192
129,194
131,196
131,200
130,201
130,202
131,203
131,206
132,207
132,209
133,210
133,211
134,212
134,214
135,215
135,219
133,221
132,221
131,222
130,222
129,223
127,223
126,224
124,224
123,225
121,225
120,226
118,226
117,227
116,227
117,228
116,229
116,231
118,233
118,240
119,241
119,243
120,244
120,246
121,247
121,249
122,250
122,251
123,252
123,253
124,254
134,254
135,255
136,255
137,254
140,254
141,253
146,253
147,254
152,254
153,253
160,253
161,254
168,254
169,253
175,253
176,254
210,254
211,253
217,253
218,254
260,254
261,255
262,255
263,254
268,254
269,255
270,254
276,254
277,255
280,255
281,254
286,254
287,255
298,255
299,254
317,254
318,255
329,255
330,254
331,254
332,255
335,255
336,254
337,254
338,253
337,253
335,255
332,255
331,254
330,254
329,255
318,255
317,254
299,254
298,255
287,255
286,254
281,254
280,255
277,255
276,254
270,254
269,255
268,254
263,254
262,255
261,255
260,254
218,254
217,253
211,253
210,254
176,254
175,253
169,253
168,254
161,254
160,253
153,253
152,254
147,254
146,253
143,253
142,252
142,251
141,250
141,245
140,244
140,228
139,228
140,229
140,244
141,245
141,251
142,252
140,254
137,254
136,255
135,255
134,254
125,254
122,251
122,250
121,249
121,247
120,246
120,244
119,243
119,241
118,240
118,233
117,232
117,231
116,230
116,229
119,226
120,226
121,225
123,225
124,224
126,224
127,223
129,223
130,222
132,222
133,221
134,221
135,220
135,215
134,214
134,212
133,211
133,210
132,209
132,207
131,206
131,203
130,202
130,201
131,200
131,198
132,197
132,196
131,196
129,194
129,192
128,191
