(x,y)

264,354
263,355
261,355
260,356
261,356
262,357
261,358
262,359
261,360
260,360
261,360
263,362
270,362
264,362
262,360
262,359
261,358
262,357
261,356
262,355
263,355
264,354
270,354
271,355
273,355
274,356
273,357
274,358
273,359
273,360
272,361
273,361
274,360
275,360
274,360
273,359
274,358
273,357
274,356
273,355
272,355
271,354
347,350
346,351
345,351
341,355
341,357
340,358
341,357
341,356
347,350
348,350
159,350
158,351
158,360
159,360
160,361
161,361
162,362
228,362
229,361
230,361
231,360
232,360
231,360
230,359
230,357
231,356
230,355
228,355
227,354
170,354
169,353
168,353
167,352
166,352
164,350
163,351
162,350
327,344
326,345
327,344
329,346
329,350
336,357
336,358
336,357
335,356
335,355
334,354
333,354
332,353
332,352
331,352
330,351
330,350
329,349
329,344
324,338
324,339
325,340
326,340
338,334
337,335
336,335
335,336
334,336
335,336
336,335
338,335
342,339
343,339
344,340
344,341
346,343
346,344
347,345
347,346
348,347
347,346
347,345
346,344
346,343
345,342
345,341
341,337
340,337
339,336
339,335
333,334
332,335
332,336
331,337
330,337
330,338
329,339
327,337
329,339
328,340
328,341
330,339
330,338
332,336
332,335
161,307
163,307
165,309
165,311
166,312
166,314
165,315
165,317
163,319
161,319
164,319
165,318
165,315
166,314
166,312
165,311
165,308
164,307
159,306
159,307
158,308
158,310
157,311
157,315
158,316
158,318
159,319
159,320
159,318
158,317
158,316
157,315
157,311
158,310
158,308
159,307
149,295
148,296
147,296
145,298
143,298
142,299
141,298
140,298
139,299
138,298
137,298
136,297
133,297
136,297
137,298
138,298
139,299
140,298
141,298
142,299
143,298
144,298
145,299
145,298
147,296
148,296
149,295
150,295
138,280
135,283
133,283
131,285
130,285
132,285
134,283
136,283
138,281
141,281
142,280
145,280
147,282
148,282
149,283
149,285
150,286
150,287
151,288
151,290
153,292
151,290
151,288
150,287
150,286
149,285
149,283
147,281
146,281
145,280
142,280
141,281
139,281
326,268
326,270
323,273
323,276
322,277
322,356
321,357
321,359
319,361
317,361
316,362
308,362
307,361
306,361
305,360
305,359
304,358
305,357
305,356
307,354
310,354
313,351
313,348
314,347
314,279
313,278
313,277
314,276
311,273
311,274
313,276
313,278
314,279
314,347
313,348
313,350
309,354
306,354
304,356
305,357
304,358
305,359
304,360
305,361
306,361
307,362
316,362
317,361
320,361
321,360
321,357
322,356
322,277
323,276
323,274
326,271
415,264
414,265
413,265
412,266
413,267
413,269
412,270
413,271
414,271
415,272
420,272
421,271
422,271
423,270
422,269
422,267
423,266
422,265
421,265
422,266
422,270
420,272
415,272
413,270
413,266
414,265
415,265
416,264
419,264
361,264
360,265
357,265
356,266
357,267
356,268
357,269
357,271
358,271
359,272
380,272
381,271
382,271
383,270
384,270
383,270
382,269
383,268
382,267
383,266
382,265
379,265
378,264
304,264
302,266
301,266
302,267
301,268
301,269
302,270
301,271
302,271
303,272
306,272
307,273
309,273
307,273
306,272
304,272
301,269
301,268
304,265
305,265
306,264
320,264
321,265
324,265
325,266
326,266
325,265
321,265
320,264
306,264
305,265
75,264
74,265
72,265
71,266
70,266
71,267
71,269
70,270
71,271
72,271
73,272
81,272
82,271
83,271
83,267
84,266
83,266
82,265
81,265
83,267
83,270
82,271
81,271
80,272
74,272
73,271
72,271
71,270
71,267
73,265
74,265
75,264
79,264
469,234
468,235
468,236
467,237
467,255
466,256
466,261
464,263
465,263
466,262
466,256
467,255
467,238
468,237
468,236
469,235
471,235
472,236
473,236
474,237
474,239
475,240
475,266
474,267
474,269
472,271
470,271
469,272
456,272
455,271
453,271
452,270
453,269
452,268
453,267
453,266
454,265
456,265
457,264
461,264
462,263
461,264
457,264
456,265
453,265
452,266
453,267
452,268
453,269
452,270
451,270
452,270
453,271
454,271
455,272
469,272
470,271
473,271
474,270
474,267
475,266
475,240
474,239
474,236
473,235
472,236
471,235
470,235
179,176
178,177
175,177
174,178
174,180
173,181
174,182
175,182
174,181
174,179
176,177
178,177
179,176
200,176
201,177
203,177
204,178
204,181
205,182
204,181
204,179
205,178
210,178
211,179
213,177
215,177
216,176
232,176
233,177
234,177
235,178
235,180
236,181
235,182
233,182
232,183
219,183
218,184
217,184
216,183
215,183
214,184
212,184
212,191
211,192
211,194
212,195
211,196
211,199
212,200
212,224
211,225
211,236
212,237
212,241
211,242
211,246
212,247
212,262
214,264
219,264
220,265
221,265
222,266
222,267
223,268
222,269
222,270
221,271
220,271
219,272
171,272
170,273
167,273
166,274
165,274
164,275
158,275
156,273
155,273
154,272
153,272
152,271
151,271
150,270
150,266
151,265
153,265
154,264
198,264
199,263
200,263
201,264
203,262
203,256
204,255
204,244
203,243
204,242
204,235
203,234
203,226
204,225
204,188
203,187
203,184
202,184
201,183
199,183
198,184
197,184
196,183
186,183
185,184
184,183
178,183
184,183
185,184
186,183
196,183
197,184
198,184
199,183
200,183
201,184
202,184
203,185
203,187
204,188
204,225
203,226
203,234
204,235
204,242
203,243
204,244
204,255
203,256
203,261
201,263
199,263
198,264
154,264
153,265
151,265
150,266
149,266
150,267
150,269
149,270
150,271
151,271
152,272
153,272
154,273
155,273
156,274
157,274
159,276
160,275
163,275
164,276
167,273
170,273
171,272
220,272
221,271
222,271
223,270
222,269
223,268
222,267
223,266
222,265
220,265
219,264
215,264
212,261
212,247
211,246
211,242
212,241
212,237
211,236
211,225
212,224
212,200
211,199
211,196
212,195
211,194
211,192
212,191
212,185
213,184
215,184
216,183
217,184
218,184
219,183
232,183
233,182
235,182
236,181
235,180
235,179
236,178
235,177
234,177
233,176
216,176
215,177
213,177
212,178
204,178
203,177
201,177
200,176
317,173
316,174
316,175
315,176
314,176
317,179
318,179
319,180
319,179
320,178
321,178
322,179
322,180
324,178
324,175
325,174
325,173
325,174
324,175
324,177
322,179
321,178
320,178
319,179
318,179
315,176
316,175
316,174
24,173
24,174
23,175
23,178
22,179
22,266
23,267
23,269
24,270
24,271
27,271
28,272
38,272
39,271
40,271
41,270
42,270
41,270
